total_reward,total_profit,position,num_epochs,learning_rate,num_time_steps,time
-366.997802734375,0.054934683125692337,0,10,0.001,100000,828.0155801773071
165.510498046875,0.9137638174482325,0,20,0.001,100000,1685.1223571300507
1889.570068359375,0.40589606465088673,1,30,0.001,100000,2729.0156552791595
359.7734375,0.014177321745607577,0,40,0.001,100000,3282.948396921158
2081.95263671875,0.10082781206000574,1,50,0.001,100000,4056.956670999527
-367.408935546875,0.033164480004269525,1,60,0.001,100000,5024.269850969315
482.520751953125,0.10058378229572854,1,70,0.001,100000,5825.187757015228
217.8203125,0.08187300169713446,0,80,0.001,100000,6681.127924442291
1235.795166015625,0.06359029791023246,1,90,0.001,100000,7446.218343734741
-276.181396484375,0.10197732515717724,0,100,0.001,100000,8121.363249778748
